epoch,train_loss,val_loss
0,0.012779629329088493,0.0029492705846981457
1,0.004620885606527736,0.002002111286856234
2,0.0035041280807490693,0.0017172360724847142
3,0.002915598076469905,0.0014218206294268991
4,0.002675151776202256,0.0016803319740574807
5,0.0024722246484998323,0.0012947016997107614
6,0.002356187369514373,0.001331309656961821
7,0.00212538586674782,0.0011734344395032774
8,0.002072329247766902,0.0012038151374630008
9,0.002063215823909559,0.0011984229204244912
10,0.002070589725917671,0.0011045489324411999
11,0.0018011971828855167,0.0011440868353626381
12,0.001761341647579684,0.001308474558754824
13,0.0018258407612847805,0.001013218430064929
14,0.0016817927453303128,0.0010245924568152986
15,0.0016888497407308023,0.0012070786421342443
16,0.00157567906398981,0.000936624446088293
17,0.001607506160326011,0.0009301963897693591
18,0.0015248784679897653,0.0009685969804801667
19,0.0014572625491382496,0.0009306371527297111
20,0.0014186590033204993,0.000910036406518581
21,0.0014397774521057727,0.0009131555828692702
22,0.001397702963458869,0.0010500778929175187
23,0.0013914241967540875,0.0008706432345206849
24,0.0013427499429781165,0.0008959244490445902
25,0.001341544872502709,0.0008566092219552957
26,0.0012792432858077518,0.0008548602878969783
27,0.0012838822294725105,0.0009420980180342061
28,0.0012717334689114068,0.0011948278164103006
29,0.0012367244505639974,0.0008558175177313387
30,0.0012466300674986996,0.0008927918582533797
31,0.001236737171666391,0.0008508928901089045
32,0.0012186423759885656,0.0008284595217749787
33,0.0012104319207537628,0.0008354089974697368
34,0.0012262784873655619,0.0008638748671122206
35,0.0011636721985723852,0.0008513342860775689
36,0.001140220017532556,0.0008220115269068629
37,0.001299525931926837,0.0008470598622807302
38,0.0011395351643841423,0.0008314829683513381
39,0.0011808369151822262,0.0008280548693922659
40,0.0011508330867400218,0.0008108048253537466
41,0.0011720969430371042,0.0008735457158763893
42,0.0011706181510362512,0.0008693271884112619
43,0.0011636107951744634,0.0008165192533245621
44,0.0011437543607826228,0.0008358876148122363
45,0.0011491234695313324,0.0009148387907771394
46,0.0011245931964367628,0.0008527390139837129
47,0.0011522164213602082,0.000826099111388127
48,0.0011432665755819471,0.0008420860685873777
49,0.0011254414969243953,0.0008390038080203036
