segment_id,edge_idx,source,target,direction,br,km_start,km_end,length_km,midpoint_lat,midpoint_lon
43,21,6f3t2qsy,6f3t8vc7,D,473,139.5,144.4,4.900000000000006,-31.364447714999955,-54.11431495499994
44,22,6f3t2qsy,6f37zz8w,C,153,638.5,668.6,30.100000000000023,-31.51321720499996,-54.13691453499993
45,22,6f37zz8w,6f3t2qsy,D,153,638.5,668.6,30.100000000000023,-31.51321720499996,-54.13691453499993
46,23,6f3t2qsy,6f3td6hk,C,153,629.6,638.5,8.899999999999977,-31.37466226999996,-54.079390674999956
47,23,6f3td6hk,6f3t2qsy,D,153,629.6,638.5,8.899999999999977,-31.37466226999996,-54.079390674999956
48,24,6f37zz8w,6f36xqv0,C,153,668.6,693.3,24.699999999999932,-31.754694839999956,-54.158728639999936
49,24,6f36xqv0,6f37zz8w,D,153,668.6,693.3,24.699999999999932,-31.754694839999956,-54.158728639999936
50,25,6f36xqv0,6f36xw02,C,153,693.3,694.0,0.7000000000000455,-31.869161094999953,-54.164271069999955
51,25,6f36xw02,6f36xqv0,D,153,693.3,694.0,0.7000000000000455,-31.869161094999953,-54.164271069999955
52,26,6f61c08v,6f61c1ef,C,473,284.2,285.0,0.8000000000000114,-32.03000670499998,-53.390342894999975
53,26,6f61c1ef,6f61c08v,D,473,284.2,285.0,0.8000000000000114,-32.03000670499998,-53.390342894999975
54,27,6f61c1ef,6f61tfdj,C,473,285.0,308.6,23.600000000000023,-32.04649708499997,-53.285125334999975
55,27,6f61tfdj,6f61c1ef,D,473,285.0,308.6,23.600000000000023,-32.04649708499997,-53.285125334999975
56,28,6f61tfdj,6f63c9rv,C,473,308.6,327.7,19.099999999999966,-32.04692028499997,-53.09558455999996
57,28,6f63c9rv,6f61tfdj,D,473,308.6,327.7,19.099999999999966,-32.04692028499997,-53.09558455999996
58,29,6f63c9rv,6f63gbvs,C,473,327.7,341.5,13.800000000000011,-32.029833474999975,-52.96139602499997
59,29,6f63gbvs,6f63c9rv,D,473,327.7,341.5,13.800000000000011,-32.029833474999975,-52.96139602499997
60,30,6f63gbvs,6f63tr1e,C,473,341.5,347.4,5.899999999999977,-32.03616799499997,-52.88330497499996
61,30,6f63tr1e,6f63gbvs,D,473,341.5,347.4,5.899999999999977,-32.03616799499997,-52.88330497499996
62,31,6f63tr1e,6f6970vw,C,473,347.4,373.6,26.200000000000045,-32.07989790499997,-52.72397584999993
63,31,6f6970vw,6f63tr1e,D,473,347.4,373.6,26.200000000000045,-32.07989790499997,-52.72397584999993
64,32,6f63tr1e,6f6d25yr,C,116,566.4,584.2,17.800000000000068,-31.983733239999964,-52.789322719999944
65,32,6f6d25yr,6f63tr1e,D,116,566.4,584.2,17.800000000000068,-31.983733239999964,-52.789322719999944
66,33,6f63tr1e,6f6286hx,C,116,584.2,614.7,30.5,-32.14228493999997,-52.96090277499994
67,33,6f6286hx,6f63tr1e,D,116,584.2,614.7,30.5,-32.14228493999997,-52.96090277499994
68,34,6f6970vw,6f6970w6,C,473,373.6,373.9,0.2999999999999545,-32.11982577499995,-52.59435346999993
69,34,6f6970w6,6f6970vw,D,473,373.6,373.9,0.2999999999999545,-32.11982577499995,-52.59435346999993
